r_angstrom,energy_hartree
0.80,-109.075971
0.85,-109.281236
0.90,-109.418418
0.95,-109.505837
1.00,-109.557067
1.05,-109.582195
1.10,-109.588740
1.15,-109.582305
1.20,-109.567066
1.25,-109.546121
1.30,-109.521758
1.35,-109.495653
1.40,-109.469019
1.45,-109.442728
1.50,-109.417397
1.55,-109.393458
1.60,-109.371206
1.65,-109.350840
1.70,-109.332486
1.75,-109.316212
1.80,-109.302045
1.85,-109.289977
1.90,-109.279968
1.95,-109.271859
2.00,-109.265146
2.10,-109.253344
2.20,-109.244614
2.30,-109.239282
2.40,-109.235957
2.50,-109.233787
2.60,-109.232315
2.70,-109.231282
2.80,-109.230534
2.90,-109.229978
3.00,-109.229557
