system,split,formula,qm9_db_id,qm9_mol_id,basis,charge,spin,unit,atom,reference_ground_method,reference_excited_method,qsgw_bse_s1_ev,qsgw_bse_s1_h,qsgw_bse_singlet_energies_ev_json,qsgw_bse_singlet_energies_h_json,qsgw_bse_triplet_energies_ev_json,qsgw_bse_oscillator_strengths_json,qsgw_bse_transition_dipoles_raw_json,nroots_available,source_xyz_path,source_eexc_ss_path,source_eexc_st_path,source_osc_path,source_tdm_path,eomccsd_augccpvtz_s1_ev,eomccsd_augccpvtz_singlet_energies_ev_json,notes
qm9randdiv60_32346_C7H2N2,candidate,C7H2N2,32346,33388,def2-tzvp,0,0,Angstrom,"C -0.003898008700 -1.214157469400 -0.004415201500
C -0.003923817300 -0.016305953600  0.002014846300
C -0.003470720200  1.457861612800  0.009917786900
C  1.372355412900  1.987233048400 -0.000376190200
C  2.490455591900  2.416965747200 -0.008740904200
C -0.733715993100  1.958027521100 -1.187241722800
N -1.291006477100  2.339900554200 -2.122208712600
C -0.710673385900  1.945084359100  1.226098864700
N -1.249968288300  2.316853196100  2.175578719000
H -0.003700555600 -2.277442848600 -0.010125606800
H  3.483033151200  2.798203692700 -0.016157448700",QM9 qsGW input / source EOM CSV retained separately,QM9 qsGW-BSE singlet-singlet,6.80203883,0.24997031641498532,"[6.80203883, 6.86412517, 7.16944253, 7.20561926, 7.29476735]","[0.24997031641498532, 0.2522519473263526, 0.26347215335481305, 0.2648016236608447, 0.268077755541599]","[5.2028722, 5.22858235, 6.04315642, 6.06164385, 6.08424972]","[0.0, 2.66e-05, 0.00293155, 0.0, 0.00685383]","[""-0.00009366"", ""-0.00026688"", ""0.00003876"", ""-0.00016882"", ""0.00108726"", ""-0.03194878"", ""-0.18576326"", ""-0.27077073"", ""-0.00000244"", ""-0.00030183"", ""-0.00011913"", ""-0.00001403"", ""0.00183588"", ""0.00102984"", ""-0.49774926""]",5,QM9_xyz_files/mol_33388.xyz,E_exc_SS/mol_33388.dat,E_exc_ST/mol_33388.dat,osc_stren/mol_33388.dat,trans_dip_mom/mol_33388.dat,7.474779366394105,"[7.474779366394105, 7.558681482829756, 7.784667652981895]",geometry_matched_to_qm9_mol_33388; qm9_source=qm9randdiv60_32346_C7H2N2; generated=2026-07-15
qm9randdiv60_28_C4H6,candidate,C4H6,28,29,def2-tzvp,0,0,Angstrom,"C -0.017879590000  1.466768929500  0.010111804100
C  0.001866436400  0.010729132200  0.002111088700
C  0.018197037300 -1.192728606100 -0.004507229900
C  0.037951701400 -2.648767925200 -0.012511925100
H  0.864603117600  1.875899791600  0.514797188000
H -0.032176236200  1.872105808600 -1.007910017800
H -0.902331145700  1.851855235400  0.530039532100
H -0.834770113100 -3.063390065900  0.504514363700
H  0.032764219400 -3.043155644400 -1.034912234100
H  0.932134863000 -3.039316415700  0.486266060300",QM9 qsGW input / source EOM CSV retained separately,QM9 qsGW-BSE singlet-singlet,7.17760785,0.26377222333016037,"[7.17760785, 7.19610181, 7.19614181, 7.56861036, 7.56865444]","[0.26377222333016037, 0.26445186382450403, 0.26445333379739105, 0.2781413005416401, 0.27814292045176164]","[6.45352828, 6.45354787, 6.95489315, 6.95492173, 8.01076949]","[3.6e-07, 0.00963956, 0.00960283, 7e-08, 1e-08]","[""-0.00114986"", ""-0.00321498"", ""-0.00124866"", ""0.19201949"", ""0.00096993"", ""0.56246354"", ""-0.56163498"", ""-0.00610370"", ""0.19083720"", ""0.00053316"", ""0.00075421"", ""-0.00119249"", ""-0.00008746"", ""0.00048321"", ""-0.00013232""]",5,QM9_xyz_files/mol_29.xyz,E_exc_SS/mol_29.dat,E_exc_ST/mol_29.dat,osc_stren/mol_29.dat,trans_dip_mom/mol_29.dat,7.578528927516191,"[7.578528927516191, 7.911962175210423, 7.911962261473075]",geometry_matched_to_qm9_mol_29; qm9_source=qm9randdiv60_28_C4H6; generated=2026-07-15
qm9randdiv60_10015_C4H6N2O2,candidate,C4H6N2O2,10015,10295,def2-tzvp,0,0,Angstrom,"N  0.661965317300  0.543487831200 -2.993082204100
H  0.601746690400 -0.455177213200 -3.173730993100
H  1.615704817400  0.812106228200 -3.220706694300
H  0.072978231100  0.988986739800 -3.691853774100
C -0.280991052000  1.395114822700  0.229435639200
C  0.475529485700  0.969276346600  1.244214965600
C  0.187772428400  1.254298152700  2.611288892900
N -0.026131076300  1.473207483100  3.727876890600
C -0.648943364200  2.075450424000  6.573657321500
O  0.293082434900  1.493274064400  6.928409294000
O -1.599850750900  2.666130616100  6.258617558600
H -1.169357843500  1.991448625600  0.409403043600
H -0.023370595500  1.153479131200 -0.800163098200
H  1.365736137300  0.372048917700  1.069187907800",QM9 qsGW input / source EOM CSV retained separately,QM9 qsGW-BSE singlet-singlet,6.63218418,0.24372827315910223,"[6.63218418, 6.97281268, 7.2303615, 7.5492236, 8.02625931]","[0.24372827315910223, 0.2562461396478123, 0.2657108842099521, 0.277428850252458, 0.2949595892485403]","[3.52898334, 6.26293827, 6.43559651, 6.70332376, 7.06842837]","[0.44362351, 5.637e-05, 0.08306528, 0.00878516, 0.0043862]","[""-1.00854647"", ""0.37472445"", ""-4.05968703"", ""0.02441123"", ""0.03788921"", ""-0.01002173"", ""0.58304156"", ""-0.50478131"", ""-1.56036174"", ""0.30161101"", ""0.46304240"", ""-0.03863335"", ""-0.20663221"", ""-0.31746504"", ""0.02500656""]",5,QM9_xyz_files/mol_10295.xyz,E_exc_SS/mol_10295.dat,E_exc_ST/mol_10295.dat,osc_stren/mol_10295.dat,trans_dip_mom/mol_10295.dat,7.4341345140496635,"[7.4341345140496635, 7.525582353916696, 7.7712146914798215]",geometry_matched_to_qm9_mol_10295; qm9_source=qm9randdiv60_10015_C4H6N2O2; generated=2026-07-15
qm9randdiv60_15_C3H6,candidate,C3H6,15,16,def2-tzvp,0,0,Angstrom,"C -0.011932797400  1.514331979800  0.010316996000
C  1.302991177200  0.778865620400 -0.006178423100
C  0.008671741400  0.007670422100  0.002010324700
H -0.305414643500  2.017021172300  0.925332389300
H -0.322754982800  2.026801564500 -0.893478386500
H  1.884933960900  0.791450198300 -0.921193934600
H  1.902266305900  0.781653907900  0.897663731700
H -0.270880431900 -0.512891247400  0.911374737400
H -0.288219829600 -0.503104088000 -0.907408244900",QM9 qsGW input / source EOM CSV retained separately,QM9 qsGW-BSE singlet-singlet,8.48136671,0.311684477715665,"[8.48136671, 8.48261544, 9.09563386, 9.09686572, 9.32112983]","[0.311684477715665, 0.31173036769674545, 0.3342583791129364, 0.33430364913295174, 0.34254520316377823]","[8.23223654, 8.2333786, 8.83562022, 8.8368012, 9.01922098]","[0.0002276, 0.00024553, 4.2e-07, 3e-07, 7.208e-05]","[""-0.07599276"", ""0.03606606"", ""0.00094708"", ""0.03585065"", ""0.07967097"", ""0.00005465"", ""-0.00138375"", ""-0.00318074"", ""0.00027789"", ""-0.00194126"", ""-0.00221193"", ""-0.00013842"", ""-0.02716862"", ""-0.03607074"", ""-0.00002445""]",5,QM9_xyz_files/mol_16.xyz,E_exc_SS/mol_16.dat,E_exc_ST/mol_16.dat,osc_stren/mol_16.dat,trans_dip_mom/mol_16.dat,9.57535369158488,"[9.57535369158488, 9.576237623149472, 9.720992362315]",geometry_matched_to_qm9_mol_16; qm9_source=qm9randdiv60_15_C3H6; generated=2026-07-15
qm9randdiv60_311_C5H2O,candidate,C5H2O,311,321,def2-tzvp,0,0,Angstrom,"O  0.003081973900 -0.076591237700  0.002841309700
C -0.013417243500  1.137447736400  0.006685740900
C  1.194834260800  1.936107943800  0.000449728400
C  2.203004969400  2.593233996900 -0.004773458900
C -1.242929184900  1.902919814300  0.017701993400
C -2.268580231400  2.532369006800  0.026861181900
H  3.097353429700  3.167957492900 -0.009394985200
H -3.178146533900  3.082652346600  0.034922729800",QM9 qsGW input / source EOM CSV retained separately,QM9 qsGW-BSE singlet-singlet,4.06276297,0.14930378530785093,"[4.06276297, 4.92172809, 5.4556095, 5.79268501, 6.03041251]","[0.14930378530785093, 0.1808701712403811, 0.20048995118006402, 0.21287724769457725, 0.22161357218209027]","[3.43418698, 3.74261133, 4.225876, 4.53413762, 5.02596817]","[0.0, 0.0, 3.582e-05, 0.13464763, 0.10503217]","[""-0.00001332"", ""-0.00001299"", ""0.00001807"", ""-0.00005106"", ""-0.00003279"", ""0.00002717"", ""-0.00030127"", ""0.00023397"", ""-0.04160730"", ""-2.47547083"", ""-0.03534481"", ""0.01755392"", ""0.03079173"", ""-2.14286267"", ""-0.00664637""]",5,QM9_xyz_files/mol_321.xyz,E_exc_SS/mol_321.dat,E_exc_ST/mol_321.dat,osc_stren/mol_321.dat,trans_dip_mom/mol_321.dat,3.914094185549222,"[3.914094185549222, 5.752063814353803, 6.234359728492048]",geometry_matched_to_qm9_mol_321; qm9_source=qm9randdiv60_311_C5H2O; generated=2026-07-15
qm9randdiv60_816_C2H3F3O,candidate,C2H3F3O,816,830,def2-tzvp,0,0,Angstrom,"O -0.052395890300  1.435960750200  0.009899728100
C  0.024677403200  0.031690660700  0.001712155200
C -1.396609463000 -0.507635139300  0.012626499400
F -2.087956646600 -0.107716829300 -1.058575260700
F -1.361656117100 -1.850665827100  0.004775766300
F -2.066794010700 -0.119817544100  1.101580505300
H  0.841602852800  1.789182629100  0.005489466300
H  0.515617341700 -0.367260590700 -0.897260056200
H  0.532840530100 -0.376743939400  0.886728136400",QM9 qsGW input / source EOM CSV retained separately,QM9 qsGW-BSE singlet-singlet,7.89337652,0.29007623678723043,"[7.89337652, 9.91165394, 9.99453796, 10.6995818, 11.07976179]","[0.29007623678723043, 0.3642465639346602, 0.3672924954888536, 0.3932023787129746, 0.4071737356502218]","[7.42952637, 9.37006246, 9.40479046, 10.06212891, 10.6088228]","[0.00447366, 0.05492214, 0.00214639, 0.06329636, 0.0002324]","[""0.00185210"", ""-0.00263140"", ""0.38657921"", ""0.00945724"", ""-0.00498279"", ""1.20875215"", ""0.23724042"", ""-0.01864438"", ""-0.00031116"", ""-0.70203929"", ""1.03290933"", ""0.01481537"", ""0.00008192"", ""0.00351920"", ""-0.07428767""]",5,QM9_xyz_files/mol_830.xyz,E_exc_SS/mol_830.dat,E_exc_ST/mol_830.dat,osc_stren/mol_830.dat,trans_dip_mom/mol_830.dat,8.14359198722157,"[8.14359198722157, 10.398049995292979, 10.433898282190393]",geometry_matched_to_qm9_mol_830; qm9_source=qm9randdiv60_816_C2H3F3O; generated=2026-07-15
qm9randdiv60_339_C4H4O2,candidate,C4H4O2,339,349,def2-tzvp,0,0,Angstrom,"C -0.031529016200  1.383858979000  0.036928661700
O  0.015967273100 -0.049711952000 -0.022699192800
C  0.636001022100 -0.550500172900 -1.104799714900
O  1.129220368700  0.111796699100 -1.983254676300
C  0.633272945400 -1.997161713500 -1.075967102500
C  0.661507149200 -3.197743904400 -1.105796810100
H  0.978351316700  1.801018802200  0.052180318700
H -0.566584704900  1.786394150400 -0.826662385700
H -0.559069358500  1.620349273400  0.960382124100
H  0.686191414400 -4.260020061400 -1.131603942300",QM9 qsGW input / source EOM CSV retained separately,QM9 qsGW-BSE singlet-singlet,5.35922836,0.19694800961454714,"[5.35922836, 6.12596915, 6.53883166, 7.45268708, 7.71192383]","[0.19694800961454714, 0.22512521393147336, 0.2402976313257129, 0.27388119857726145, 0.2834079734227812]","[4.54071298, 4.8332388, 5.58032153, 5.63635034, 5.91170032]","[2.796e-05, 0.00015921, 0.0865064, 0.0001388, 0.10515497]","[""-0.03226256"", ""-0.00025163"", ""-0.01829754"", ""0.07193521"", ""0.00078464"", ""0.04096452"", ""-0.03560468"", ""-1.86511448"", ""0.09334611"", ""-0.06077747"", ""-0.00101479"", ""-0.03487589"", ""-0.86982965"", ""0.73241026"", ""1.51743052""]",5,QM9_xyz_files/mol_349.xyz,E_exc_SS/mol_349.dat,E_exc_ST/mol_349.dat,osc_stren/mol_349.dat,trans_dip_mom/mol_349.dat,5.462798395144049,"[5.462798395144049, 6.76119275138439, 7.217926096174383]",geometry_matched_to_qm9_mol_349; qm9_source=qm9randdiv60_339_C4H4O2; generated=2026-07-15
qm9randdiv60_19974_C5H3N3,candidate,C5H3N3,19974,20306,def2-tzvp,0,0,Angstrom,"C  0.014800618800 -1.181064601800 -0.003742282200
C  0.025049515900  0.021686755400  0.002490429900
C -0.011907834000  1.444277462400  0.010598276200
C -1.233341032400  2.141931567000  0.030634578900
N -1.261895718900  3.463160138500  0.038062640800
C -0.058233122000  4.047622257100  0.025098536400
N  1.126261595100  3.435926256800  0.006005668100
N  1.155483206000  2.111058992000 -0.001448769900
H  0.022812152800 -2.243633222400 -0.009431887700
H -2.179454132100  1.607034562800  0.040415986900
H -0.028202409300  5.132853112000  0.030481162600",QM9 qsGW input / source EOM CSV retained separately,QM9 qsGW-BSE singlet-singlet,3.27414096,0.12032246098754833,"[3.27414096, 4.01190677, 4.95392925, 5.62268151, 5.65069619]","[0.12032246098754833, 0.1474348544294214, 0.1820535420436509, 0.20662973430208828, 0.20765925480305616]","[2.50536367, 3.35768485, 3.65970935, 3.75342732, 4.78004568]","[0.00501316, 0.00042936, 0.1276388, 2.592e-05, 0.25622797]","[""-0.00856828"", ""0.00338035"", ""-0.63535305"", ""0.00204982"", ""-0.00017345"", ""0.16797934"", ""1.28749226"", ""2.26639918"", ""-0.00515238"", ""-0.00209549"", ""0.00867417"", ""-0.03370338"", ""0.91018577"", ""-3.33585440"", ""-0.03000048""]",5,QM9_xyz_files/mol_20306.xyz,E_exc_SS/mol_20306.dat,E_exc_ST/mol_20306.dat,osc_stren/mol_20306.dat,trans_dip_mom/mol_20306.dat,3.457616574374463,"[3.457616574374463, 4.063834682982148, 5.193138286158996]",geometry_matched_to_qm9_mol_20306; qm9_source=qm9randdiv60_19974_C5H3N3; generated=2026-07-15
qm9randdiv60_21286_C2H4N6,candidate,C2H4N6,21286,21710,def2-tzvp,0,0,Angstrom,"N  0.013671909900  1.326869919400  0.052457395100
C  0.065994868900 -0.020898941800  0.014302841900
N  1.188236541700 -0.647539143300 -0.001951707500
C  1.147557000700 -2.020339059600 -0.012484274500
N  2.260408081700 -2.757392019200 -0.046826576000
N  1.750359829300 -3.983490146900 -0.045117408800
N  0.428666600100 -4.044216234300 -0.012062410800
N  0.023005843300 -2.804379376700  0.009382962300
H  0.872131603800  1.850873156400 -0.004083512100
H -0.859128625900  1.813311693100 -0.036874674900
H -0.907323115900 -0.518931854100  0.013405685500
H  2.324725332600 -4.811893003100 -0.065656270100",QM9 qsGW input / source EOM CSV retained separately,QM9 qsGW-BSE singlet-singlet,5.63790221,0.20718908471012729,"[5.63790221, 5.81171421, 5.85541708, 5.92043192, 6.38086677]","[0.20718908471012729, 0.21357655789612223, 0.21518260874575298, 0.21757186004711168, 0.23449252869066103]","[3.67896006, 3.99194177, 4.96882423, 4.99098056, 5.33008495]","[0.12976653, 0.0052757, 0.43886732, 0.00841741, 0.01316187]","[""0.13511921"", ""2.45957357"", ""0.04162761"", ""-0.28669085"", ""0.32728803"", ""-0.22375978"", ""-2.28994306"", ""3.80792262"", ""0.14226429"", ""0.04396149"", ""-0.06674804"", ""0.60706408"", ""-0.04390649"", ""0.20912582"", ""-0.70588328""]",5,QM9_xyz_files/mol_21710.xyz,E_exc_SS/mol_21710.dat,E_exc_ST/mol_21710.dat,osc_stren/mol_21710.dat,trans_dip_mom/mol_21710.dat,5.93402373478692,"[5.93402373478692, 5.999164308169517, 6.179344130097139]",geometry_matched_to_qm9_mol_21710; qm9_source=qm9randdiv60_21286_C2H4N6; generated=2026-07-15
qm9randdiv60_172_CHN3O,candidate,CHN3O,172,176,def2-tzvp,0,0,Angstrom,"O -0.059332588700  1.268420121100  0.009517850300
N  1.194629371200  1.771776509000  0.000122915200
C  1.959021738700  0.721051742700 -0.012806964100
N  1.227042197900 -0.447940648300 -0.012155972200
N  0.011930217600 -0.124633829300  0.001297373700
H  3.035554673400  0.755231334800 -0.022986482900",QM9 qsGW input / source EOM CSV retained separately,QM9 qsGW-BSE singlet-singlet,5.55305326,0.20407094331031125,"[5.55305326, 6.07670372, 6.53553555, 7.55716198, 7.59127446]","[0.20407094331031125, 0.2233147427722812, 0.24017650151739653, 0.2777205803366308, 0.27897419085436137]","[3.9624691, 4.52251999, 5.05645854, 5.18969181, 6.56560115]","[0.00651335, 0.0010798, 0.06976239, 0.0397474, 0.00996468]","[""-0.00539639"", ""0.00305838"", ""-0.55611260"", ""-0.00215642"", ""0.00085199"", ""-0.21645449"", ""0.16887736"", ""-1.66918115"", ""-0.01066012"", ""1.10649843"", ""0.40318298"", ""-0.00656854"", ""0.00117701"", ""-0.00364532"", ""0.58832684""]",5,QM9_xyz_files/mol_176.xyz,E_exc_SS/mol_176.dat,E_exc_ST/mol_176.dat,osc_stren/mol_176.dat,trans_dip_mom/mol_176.dat,5.798081177676373,"[5.798081177676373, 6.40818035945052, 6.931981365397738]",geometry_matched_to_qm9_mol_176; qm9_source=qm9randdiv60_172_CHN3O; generated=2026-07-15
